"F.ID","FARR.DATE","FMASS","ADATE","AMASS","AYOLK","AALBUMEN","BDATE","BMASS","BYOLK","BALBUMEN"
28,"15/10/09",3170,"1/11/2009",103.2,20.7,68.6,"5/11/2009",122,22.1,84.3
2,"13/10/10",2900,"3/11/2010",119.4,21.5,82.6,"7/11/2010",122.7,19.8,86.5
10,"14/10/10",3220,"3/11/2010",106.3,22,70.6,"8/11/2010",123.9,23,85.5
19,"11/10/2009",3000,"30/10/09",104.2,18.5,73.2,"3/11/2009",124.2,19.6,89.7
21,"16/10/09",2910,"2/11/2009",106.7,20.3,70.4,"6/11/2009",124.2,21.6,81.1
22,"9/10/2009",3080,"25/10/09",91,17.4,60.7,"29/10/09",124.5,23.7,83.3
28,"12/10/2010",3190,"31/10/10",102.6,20,69.2,"4/11/2010",125,20,89.8
50,"12/10/2010",3180,"31/10/10",101.3,21.8,66.7,"4/11/2010",125.8,25.8,85.2
15,"16/10/09",3230,"3/11/2009",109.2,19.6,74.8,"7/11/2009",126.6,18.9,89.4
21,"13/10/10",3020,"30/10/10",102.1,16.8,71.2,"4/11/2010",127,23.3,86.2
51,"9/10/2010",3400,"28/10/10",104.5,19.2,72,"1/11/2010",127.1,22,88.9
12,"11/10/2009",3280,"30/10/09",106.9,22.8,70.1,"3/11/2009",127.2,24.9,85.4
48,"10/10/2010",3210,"30/10/10",101.3,22,67.1,"3/11/2010",127.4,23.4,89.8
26,"8/10/2009",2890,"30/10/09",108.3,20.5,74.9,"3/11/2009",128.1,23.7,87.9
30,"14/10/10",3480,"31/10/10",99,18.7,68.1,"4/11/2010",129,22.5,90.8
33,"9/10/2009",3100,"29/10/09",103.9,23.8,65.9,"2/11/2009",129.7,22.3,89
31,"14/10/09",2910,"30/10/09",99.5,19.1,67.1,"3/11/2009",131.2,27.3,86.5
12,"11/10/2010",3410,"30/10/10",109.8,21.7,74.3,"3/11/2010",132.1,24.5,91.8
35,"9/10/2009",3250,"28/10/09",97.5,17.6,66,"2/11/2009",133.5,23.8,90.9
13,"12/10/2010",3560,"1/11/2010",115.9,22.5,79.7,"6/11/2010",134,23.8,94.1
2,"11/10/2009",3050,"29/10/09",114,20.7,76.5,"3/11/2009",134.7,20.7,94.2
46,"11/10/2010",2980,"1/11/2010",120.2,25,84.5,"5/11/2010",134.9,25.8,93.9
13,"15/10/09",3560,"2/11/2009",116.2,21.4,79.3,"7/11/2009",135.8,24.5,92.5
43,"12/10/2010",3280,"28/10/10",102.7,19.3,70.2,"1/11/2010",136.4,25.1,94.6
38,"12/10/2010",3440,"30/10/10",111.4,21.7,75.7,"3/11/2010",141.1,25.7,97.9
